antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Season
"Drinks:coffee, Meat:sausage",ProcessedFood:pastry,0.0016142050040355124,0.0516545601291364,0.0010761366693570083,0.6666666666666666,12.90625,1.0,0.000992755619915303,2.8450363196125905,0.9240097008892482,0.020618556701030924,0.6485106382978723,0.34375,Autumn
ProcessedFood:pastry,"Drinks:coffee, Meat:sausage",0.0516545601291364,0.0016142050040355124,0.0010761366693570083,0.020833333333333332,12.90625,1.0,0.000992755619915303,1.0196280459533253,0.9727659574468085,0.020618556701030924,0.019250202101859338,0.34375,Autumn
"Drinks:canned beer, Produce:other vegetables",Meat:ham,0.0053806833467850415,0.015873015873015872,0.0010761366693570083,0.2,12.600000000000001,1.0,0.0009907289971858172,1.2301587301587302,0.9256153638084933,0.05333333333333334,0.1870967741935484,0.13389830508474576,Autumn
Meat:ham,"Drinks:canned beer, Produce:other vegetables",0.015873015873015872,0.0053806833467850415,0.0010761366693570083,0.06779661016949153,12.6,1.0,0.0009907289971858172,1.066955266955267,0.9354838709677419,0.05333333333333334,0.0627535839870165,0.13389830508474576,Autumn
PersonalCare:hygiene articles,"Dairy:whole milk, Drinks:canned beer",0.014579536579015881,0.005988023952095809,0.001041395469929706,0.07142857142857144,11.928571428571429,1.0,0.0009540928556841018,1.0704744357438967,0.9297225891677675,0.053333333333333344,0.06583476764199657,0.12267080745341616,Summer
"Dairy:whole milk, Drinks:canned beer",PersonalCare:hygiene articles,0.005988023952095809,0.014579536579015881,0.001041395469929706,0.17391304347826086,11.928571428571429,1.0,0.0009540928556841018,1.1928774030885596,0.9216867469879518,0.053333333333333344,0.1616908850726552,0.12267080745341616,Summer
Drinks:coffee,"Meat:sausage, ProcessedFood:pastry",0.02959375840731773,0.003228410008071025,0.0010761366693570083,0.03636363636363636,11.263636363636364,1.0,0.0009805958835383878,1.0343856122557753,0.939007485444968,0.033898305084745756,0.03324254692675745,0.18484848484848485,Autumn
"Meat:sausage, ProcessedFood:pastry",Drinks:coffee,0.003228410008071025,0.02959375840731773,0.0010761366693570083,0.3333333333333333,11.263636363636364,1.0,0.0009805958835383878,1.4556093623890234,0.91417004048583,0.033898305084745756,0.3130024951483227,0.18484848484848485,Autumn
Drinks:canned beer,"Meat:ham, Produce:other vegetables",0.047619047619047616,0.0026903416733925207,0.0010761366693570083,0.022598870056497175,8.4,1.0,0.0009480251611002216,1.0203688411780898,0.9250000000000002,0.02185792349726776,0.019962233612085243,0.2112994350282486,Autumn
"Meat:ham, Produce:other vegetables",Drinks:canned beer,0.0026903416733925207,0.047619047619047616,0.0010761366693570083,0.4,8.4,1.0,0.0009480251611002216,1.5873015873015872,0.8833288373347721,0.02185792349726776,0.37000000000000005,0.2112994350282486,Autumn
"Drinks:coffee, ProcessedFood:pastry",Meat:sausage,0.002421307506053269,0.05515200430454668,0.0010761366693570083,0.4444444444444444,8.058536585365854,1.0,0.0009425967073605272,1.7007263922518159,0.8780339805825244,0.019047619047619046,0.41201594533029606,0.23197831978319783,Autumn
Meat:sausage,"Drinks:coffee, ProcessedFood:pastry",0.05515200430454668,0.002421307506053269,0.0010761366693570083,0.01951219512195122,8.058536585365854,1.0,0.0009425967073605272,1.0174310047823836,0.9270358769931663,0.019047619047619046,0.017132370352829742,0.23197831978319783,Autumn
Produce:packaged fruit/vegetables,Drinks:beverages,0.0077271516120436985,0.017852384758859578,0.0010658140154543032,0.13793103448275862,7.726196603190942,1.0,0.0009278659317860571,1.139291233679723,0.8773496240601504,0.043478260869565216,0.12226130559245606,0.09881626351003603,Spring
Drinks:beverages,Produce:packaged fruit/vegetables,0.017852384758859578,0.0077271516120436985,0.0010658140154543032,0.05970149253731343,7.7261966031909415,1.0,0.0009278659317860571,1.055274299079255,0.8863944655453065,0.043478260869565216,0.05237908203344181,0.09881626351003603,Spring
Dairy:whipped/sour cream,"Dairy:butter, Produce:other vegetables",0.04326396495071194,0.0032858707557502738,0.001095290251916758,0.025316455696202528,7.704641350210969,1.0,0.0009531304547074087,1.0226028079259186,0.909559244419004,0.024096385542168672,0.022103213242453745,0.1793248945147679,Winter
"Dairy:butter, Produce:other vegetables",Dairy:whipped/sour cream,0.0032858707557502738,0.04326396495071194,0.001095290251916758,0.3333333333333333,7.704641350210969,1.0,0.0009531304547074087,1.435104052573932,0.8730769230769231,0.024096385542168672,0.3031864148063346,0.1793248945147679,Winter
Drinks:canned beer,"Dairy:whole milk, PersonalCare:hygiene articles",0.04842488935173132,0.002863837542306691,0.001041395469929706,0.021505376344086023,7.509286412512219,1.0,0.0009027144538221702,1.019051242951269,0.9109439124487004,0.02072538860103627,0.018695078469356245,0.19257086999022482,Summer
"Dairy:whole milk, PersonalCare:hygiene articles",Drinks:canned beer,0.002863837542306691,0.04842488935173132,0.001041395469929706,0.36363636363636365,7.5092864125122185,1.0,0.0009027144538221702,1.4953323167329937,0.8693211488250652,0.02072538860103627,0.3312523317995274,0.19257086999022482,Summer
Meat:sausage,"Dairy:curd, Dairy:yogurt",0.06314948041566747,0.002930988542499334,0.001332267519317879,0.021097046413502112,7.197928653624857,1.0,0.0011471771157547717,1.0185575677389123,0.9191126279863481,0.0205761316872428,0.01821945889627831,0.23782125047947836,Spring
"Dairy:curd, Dairy:yogurt",Meat:sausage,0.002930988542499334,0.06314948041566747,0.001332267519317879,0.4545454545454546,7.197928653624857,1.0,0.0011471771157547717,1.7175592859046098,0.8636023516835917,0.0205761316872428,0.4177784672665219,0.23782125047947836,Spring
